family,cone,ridge,summit
Bythitidae,0,1,1
Callanthiidae,33,0,0
Caproidae,134,0,0
Carangidae,184,0,0
Cepolidae,1,0,0
Chaunacidae,4,0,1
Chlorophthalmidae,1,0,0
Congridae,12,0,0
Cynoglossidae,1,0,0
Epigonidae,23,0,0
Halosauridae,1,0,0
Labridae,3,0,0
Lophiidae,7,0,1
Macrouridae,3,4,4
Moridae,28,0,0
NA,10,2,5
Ogcocephalidae,0,0,1
Ophidiidae,1,4,4
Percophidae,1,0,0
Polymixiidae,2,0,0
Scorpaenidae,17,0,0
Serranidae,2,0,0
Setarchidae,2,0,0
Squalidae,6,0,0
Symphysanodontidae,6,0,0
Synaphobranchidae,1,2,4
Trachichthyidae,1,0,0
Triacanthodidae,19,0,0
