family,cone,flank,pinnacle,terrace
Acropomatidae,0,5,0,1
Ateleopodidae,0,0,6,0
Berycidae,1,2,0,0
Bramidae,0,3,0,0
Callanthiidae,12,0,0,0
Caproidae,42,0,23,0
Carangidae,0,0,5,0
Carapidae,0,5,0,0
Cepolidae,0,0,0,3
Chaunacidae,1,1,0,0
Chlorophthalmidae,2,10,0,6
Congridae,0,8,3,1
Epigonidae,25,7,11,18
Etmopteridae,0,3,0,0
Gempylidae,0,1,0,0
Gonostomatidae,0,13,0,0
Grammicolepididae,0,16,0,0
Halosauridae,0,110,0,0
Hexatrygonidae,0,3,0,0
Lophiidae,0,5,0,1
Lutjanidae,0,2,0,0
Macrouridae,6,45,2,0
Moridae,5,0,0,4
Myctophidae,0,13,2,0
NA,31,101,7,14
Neoscopelidae,0,24,0,0
Nettastomatidae,0,17,0,0
Ogcocephalidae,1,1,0,0
Ophichthidae,0,8,0,31
Ophidiidae,1,7,0,0
Oreosomatidae,0,1,0,0
Parazenidae,1,2,0,0
Percophidae,1,0,3,21
Peristediidae,0,1,1,2
Polymixiidae,2,0,2,1
Scorpaenidae,1,2,24,10
Serranidae,0,0,1,0
Setarchidae,8,4,0,0
Squalidae,0,0,1,1
Symphysanodontidae,24,0,7,0
Synaphobranchidae,0,0,23,3
Trachichthyidae,0,0,0,3
Triacanthodidae,18,53,1,25
Trichiuridae,0,1,0,0
Zeniontidae,1,0,0,0
