family,channel,cone,crater,flank,ridge,summit,terrace
Alepocephalidae,0,0,0,1,1,0,0
Bathysauridae,0,0,0,1,0,0,0
Bythitidae,0,2,0,0,0,2,0
Epigonidae,0,0,0,0,0,1,0
Gonostomatidae,0,0,0,2,0,3,1
Halosauridae,0,2,0,19,4,8,6
Ipnopidae,0,0,0,0,0,0,13
Liparidae,0,0,0,0,1,0,0
Macrouridae,1,5,3,3,57,20,2
Moridae,0,0,0,0,1,3,0
NA,0,9,0,4,9,13,3
Nemichthyidae,0,0,0,1,0,0,0
Neoscopelidae,0,0,0,0,0,4,0
Nettastomatidae,0,0,0,0,0,2,1
Ogcocephalidae,0,0,0,0,0,1,0
Ophidiidae,1,0,1,5,21,2,1
Pentanchidae,0,0,0,1,0,0,0
Stephanoberycidae,0,0,0,1,0,0,0
Synaphobranchidae,4,8,1,7,36,22,3
